Dates	Time	Flow	pMeHg
10d	8s	6n	6n
2016-01-20	13:30	476	0.25
2016-01-23	11:00	57.7	0.05
2016-01-24	8:40	114	0.05
2016-02-02	15:00	498	0.25
2016-02-03	14:00	430	0.37
2016-02-04	12:40	256	0.83
2016-03-07	13:40	541	0.47
2016-03-08	14:20	551	0.59
2016-03-09	14:00	856	0.18
2016-03-10	15:40	654	0.12
2016-03-12	14:20	4465	0.43
2016-03-13	13:10	3732	0.27
2016-03-14	13:30	3176	0.30
2016-03-15	13:20	2598	0.16
2016-03-17	14:20	2858	0.28
2016-04-06	13:00	473	0.51
2016-12-15	16:40	79.2	0.11
2016-12-16	17:20	233	0.52
2016-12-17	16:00	0.6	0.75
2017-01-09	17:50	12332	2.22
2017-01-10	15:40	3859	0.86
2017-01-11	16:40	13770	1.57
2017-02-01	14:10	3031	0.19
2017-02-08	14:40	10858	0.84
2017-02-10	15:20	11505	0.91
2017-02-21	13:50	13499	1.12
2017-03-16	16:40	2942	0.14
2017-04-04	15:50	259	0.27
2017-04-26	14:30	223	0.32
2018-03-22	10:30	86.2	0.13
2018-04-08	12:50	350	0.27
