agency_cd,site_no,measurement_nu,measurement_dt,measurement_tm,tz_cd_reported,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,measurement_dateTime,tz_cd
USGS,11452600,1,2/27/2008,'11:08',PST,Yes,WRB/MG,USGS,36.86,718,Good,0,0.2,Clear,NONE,2/27/2008 19:08,UTC
USGS,11452600,2,4/1/2008,'15:06',PDT,Yes,WRB/WJH,USGS,34.87,44.6,Poor,0,0.8,Clear,NONE,4/1/2008 22:06,UTC
USGS,11452600,3,2/19/2009,'11:21',PST,Yes,WRB/MJJ,USGS,37,476,Fair,0,0.4,Clear,NONE,2/19/2009 19:21,UTC
USGS,11452600,4,2/23/2009,'12:36',PST,Yes,WRB/MJJ,USGS,38.74,2240,Fair,0.18,1.2,Clear,NONE,2/23/2009 20:36,UTC
USGS,11452600,5,2/26/2009,'12:22',PST,Yes,WRB/WJH,USGS,36.55,364,Fair,0,0.3,Clear,NONE,2/26/2009 20:22,UTC
USGS,11452600,6,3/3/2009,'10:31',PST,Yes,WRB/MJJ,USGS,38.85,1950,Good,0,0.2,Clear,NONE,3/3/2009 18:31,UTC
USGS,11452600,7,3/20/2009,'11:23',PDT,Yes,WRB/WJH,USGS,35.04,86.5,Poor,0,0.8,Clear,NONE,3/20/2009 18:23,UTC
USGS,11452600,8,1/21/2010,'14:09',PST,Yes,WRB/TRH,USGS,41.4,4480,Fair,0,0.3,Clear,NONE,1/21/2010 22:09,UTC
USGS,11452600,9,1/26/2010,'12:41',PST,Yes,WRB/MJJ,USGS,43.65,8150,Poor,0,0.1,Clear,NONE,1/26/2010 20:41,UTC
USGS,11452600,10,2/11/2010,'14:17',PST,Yes,WRB/MJJ,USGS,36.45,342,Fair,0,0.3,Clear,NONE,2/11/2010 22:17,UTC
USGS,11452600,11,3/5/2010,'11:48',PST,Yes,WJH/WRB,USGS,37.35,744,Fair,0,0.2,Clear,NONE,3/5/2010 19:48,UTC
USGS,11452600,12,4/22/2010,'12:15',PDT,Yes,WRB/MJJ,USGS,36.51,421,Poor,-0.01,0.2,Clear,NONE,4/22/2010 19:15,UTC
USGS,11452600,13,12/8/2010,'15:10',PST,Yes,WRB/MJJ,USGS,NA,117,Poor,NA,0.1,Clear,NONE,12/8/2010 23:10,UTC
USGS,11452600,14,12/20/2010,'12:34',PST,Yes,WRB/MJJ,USGS,36.11,533,Fair,0,0.2,Clear,NONE,12/20/2010 20:34,UTC
USGS,11452600,15,2/19/2011,'10:52',PST,Yes,WRB/JRY,USGS,38.29,1240,Good,0,0.2,Clear,NONE,2/19/2011 18:52,UTC
USGS,11452600,16,3/11/2011,'14:26',PST,Yes,WRB/WJH,USGS,39.16,2000,Good,0.01,0.2,Clear,NONE,3/11/2011 22:26,UTC
USGS,11452600,17,3/19/2011,'14:16',PDT,Yes,JRY/WRB,USGS,41.62,4010,Poor,-0.05,0.6,Clear,NONE,3/19/2011 21:16,UTC
USGS,11452600,18,3/22/2011,'09:34',PDT,Yes,JRY/WRB,USGS,41.64,5110,Good,-0.01,0.2,Clear,NONE,3/22/2011 16:34,UTC
USGS,11452600,19,3/22/2011,'10:13',PDT,Yes,WRB/BMW,USGS,41.62,5240,Good,-0.01,0.2,Clear,NONE,3/22/2011 17:13,UTC
USGS,11452600,20,3/25/2011,'09:40',PDT,Yes,JRY/BMW,USGS,45.64,12000,Fair,-0.09,0.1,Clear,NONE,3/25/2011 16:40,UTC
USGS,11452600,21,3/25/2011,'10:34',PDT,Yes,JRY/BMW,USGS,45.44,13000,Fair,-0.2,0.8,Clear,OTHR,3/25/2011 17:34,UTC
USGS,11452600,22,6/2/2011,'12:44',PDT,Yes,WRB/BMW,USGS,34.34,32.1,Poor,0,0.4,Clear,NONE,6/2/2011 19:44,UTC
USGS,11452600,23,1/25/2012,'11:27',PST,Yes,EML/WRB,USGS,36.58,191,Good,0,0.3,Clear,NONE,1/25/2012 19:27,UTC
USGS,11452600,24,3/15/2012,'16:17',PDT,Yes,WRB/MH,USGS,36.82,398,Fair,0,0.3,Clear,NONE,3/15/2012 23:17,UTC
USGS,11452600,25,3/28/2012,'13:33',PDT,Yes,WRB/JRY,USGS,39.06,1970,Poor,0.17,0.6,Clear,NONE,3/28/2012 20:33,UTC
USGS,11452600,26,11/30/2012,'13:13',PST,Yes,WJH/JRG,USGS,NA,0,Excellent,NA,NA,NA,NONE,11/30/2012 21:13,UTC
USGS,11452600,27,12/3/2012,'11:15',PST,Yes,JRG/WRB,USGS,40.07,2470,Fair,-0.08,0.3,Clear,NONE,12/3/2012 19:15,UTC
USGS,11452600,28,12/23/2012,'13:02',PST,Yes,MH/WRB,USGS,39.7,2170,Fair,0.01,0.3,Clear,NONE,12/23/2012 21:02,UTC
USGS,11452600,29,3/2/2014,'11:43',PST,Yes,"cc,mh,ns",USGS,NA,177,Fair,0.12,0.5,NA,NONE,3/2/2014 19:43,UTC
USGS,11452600,30,3/7/2014,'10:49',PST,Yes,CA/WB,USGS,35.21,46,Poor,NA,NA,NA,NONE,3/7/2014 18:49,UTC
USGS,11452600,31,4/3/2014,'12:19',PDT,Yes,MRH/EML,USGS,NA,143,Poor,NA,NA,NA,NONE,4/3/2014 19:19,UTC
USGS,11452600,32,10/16/2014,'11:46',PDT,Yes,eml,USGS,NA,0,Excellent,NA,NA,NoFlow,NONE,10/16/2014 18:46,UTC
USGS,11452600,33,12/3/2014,'10:37',PST,Yes,EML/JKH,USGS,NA,0,Excellent,NA,NA,NoFlow,NONE,12/3/2014 18:37,UTC
USGS,11452600,34,12/5/2014,'13:59',PST,No,EML/MRH,USGS,31.29,119,Fair,0,0.3,Clear,NONE,12/5/2014 21:59,UTC
USGS,11452600,35,12/12/2014,'10:18',PST,Yes,TRH/ORB,USGS,46.61,12400,Fair,-0.3,0.8,DebrisModerate,NONE,12/12/2014 18:18,UTC
USGS,11452600,36,12/12/2014,'11:06',PST,Yes,TRH/ORB,USGS,46.25,10900,Fair,-0.39,0.7,DebrisModerate,NONE,12/12/2014 19:06,UTC
USGS,11452600,37,9/29/2015,'10:14',PDT,Yes,SB/EL/DO,USGS,NA,0,Excellent,NA,NA,NA,NONE,9/29/2015 17:14,UTC
USGS,11452600,38,11/6/2015,'14:30',PST,Yes,AAS/AF,USGS,NA,0,Excellent,NA,NA,NoFlow,NONE,11/6/2015 22:30,UTC
USGS,11452600,39,12/17/2015,'11:50',PST,Yes,EML/SJB,USGS,NA,0,Excellent,NA,0,NA,NONE,12/17/2015 19:50,UTC
USGS,11452600,40,1/8/2016,'13:16',PST,Yes,EML/SJB,USGS,34.66,144,Fair,0.03,0.3,Clear,NONE,1/8/2016 21:16,UTC
USGS,11452600,41,1/19/2016,'12:02',PST,Yes,EML/WJH,USGS,38.47,766,Fair,NA,0.3,Clear,NONE,1/19/2016 20:02,UTC
USGS,11452600,42,3/8/2016,'11:23',PST,Yes,SJB/EML,USGS,39.6,1460,Poor,-0.15,1.3,Clear,NONE,3/8/2016 19:23,UTC
USGS,11452600,43,4/19/2016,'12:27',PDT,Yes,SJB/EML,USGS,33.77,7.49,Poor,NA,NA,Clear,NONE,4/19/2016 19:27,UTC
USGS,11452600,44,5/26/2016,'14:49',PDT,Yes,EML/SJB,USGS,NA,0,Good,NA,NA,NA,NONE,5/26/2016 21:49,UTC
USGS,11452600,45,10/4/2016,'11:02',PDT,Yes,EL/do/ae,USGS,NA,0,Excellent,NA,NA,NA,NONE,10/4/2016 18:02,UTC
USGS,11452600,46,10/19/2016,'09:50',PDT,Yes,EML/SJB,USGS,NA,0,Excellent,NA,NA,NoFlow,NONE,10/19/2016 16:50,UTC
USGS,11452600,47,12/12/2016,'11:09',PST,Yes,EML/NWS,USGS,33.29,152,Fair,0.04,0.3,DebrisLight,NONE,12/12/2016 19:09,UTC
USGS,11452600,48,12/16/2016,'12:37',PST,Yes,AAS/JRG,USGS,41.29,2840,Poor,0.37,3,Clear,NONE,12/16/2016 20:37,UTC
USGS,11452600,49,1/10/2017,'11:12',PST,Yes,jlw/eml,USGS,42.73,5070,Poor,0.29,1.2,Unspecifed,NONE,1/10/2017 19:12,UTC
USGS,11452600,50,2/10/2017,'10:43',PST,Yes,MRH/MW,USGS,46.76,11300,Poor,0.14,0.6,DebrisModerate,NONE,2/10/2017 18:43,UTC
USGS,11452600,51,2/21/2017,'12:16',PST,No,AAS/JLW,USGS,52.62,16100,Poor,NA,NA,Unspecifed,NONE,2/21/2017 20:16,UTC
USGS,11452600,52,5/3/2017,'12:32',PDT,Yes,eml/sjb,USGS,36.58,151,Fair,0,0.2,Clear,NONE,5/3/2017 19:32,UTC
