Dates	Flow	fMeHg	
10d	6n	6n	
2010-02-10	10.900	0.180	
2010-12-30	479.000	0.150	
2011-01-04	579.000	0.110	
2011-02-23	96.700	0.380	
2011-02-28	65.200	0.680	
2011-03-15	985.000	0.180	
2011-03-17	1750.000	0.160	
2011-03-19	4210.000	0.100	
2011-03-21	11300.000	0.090	
2011-03-22	6060.000	0.030	
2011-03-25	9380.000	0.025	
2011-04-04	3650.000	0.080	
2012-12-03	960.000	0.080	
2012-12-05	358.000	0.070	
2012-12-23	2100.000	0.097	
2012-12-24	5020.000	0.070	
2012-12-27	1060.000	0.070	
2014-12-12	0.001	0.030	
2014-12-13	4300.000	0.080	
2014-12-15	912.000	0.060	
2014-12-16	1470.000	0.050	
2014-12-20	1350.000	0.065	
2015-02-09	226.000	0.090	
2015-02-10	1540.000	0.070	
2016-01-24	31.000	0.075	
2016-03-10	204.000	0.100	
2016-03-12	3590.000	0.080	
2016-03-13	3210.000	0.080	
2016-03-14	3120.000	0.060	
2016-03-15	2380.000	0.060	
2016-03-17	2030.000	0.040	
2017-01-05	0.001	0.070	
2017-01-09	13300.000	0.050	
2017-01-10	4300.000	0.050	
2017-01-11	9460.000	0.040	
2017-01-14	3790.000	0.050	
2017-01-19	3790.000	0.020	
2017-01-20	8120.000	0.030	
2017-01-21	9680.000	0.030	
2017-01-23	11700.000	0.030	
2017-01-26	4200.000	0.020	
2017-02-01	3030.000	0.015	
2017-02-08	14200.000	0.040	
2017-02-10	10100.000	0.040	
2017-02-21	11200.000	0.040	
2017-03-16	2630.000	0.040	
2017-04-04	35.000	0.160	
2019-01-17	4900.000	0.060	
2019-01-18	7870.000	0.050	
2019-02-05	1080.000	0.080	
2019-02-14	11700.000	0.050	
2019-02-15	15200.000	0.040	
2019-02-27	12200.000	0.050	
2019-02-28	16000.000	0.040	
2019-03-01	7810.000	0.031	
2019-03-05	4830.000	0.020	
2019-03-07	9400.000	0.035	
2019-03-28	3940.000	0.040	
2019-04-17	251.000	0.100	
