Dates	Flow	SSC	
10d	6n	6n	
2010-01-21	6450.000	1320.000	
2010-01-22	3670.000	453.000	
2010-01-26	1649.000	692.982	
2010-01-27	5110.000	694.000	
2010-04-15	1120.000	88.000	
2010-12-30	479.000	210.000	
2011-01-04	579.000	55.000	
2011-02-23	96.700	22.000	
2011-02-28	65.200	15.000	
2011-03-15	985.000	13.025	
2011-03-17	1750.000	27.000	
2011-03-19	4210.000	322.000	
2011-03-21	11300.000	792.000	
2011-03-22	6060.000	111.500	
2011-03-25	9380.000	474.000	
2011-04-04	3650.000	77.000	
2012-12-03	960.000	1020.000	
2012-12-05	358.000	166.000	
2012-12-23	2100.000	459.000	
2012-12-24	5020.000	1620.000	
2012-12-27	1060.000	159.000	
2014-12-12	0.001	1710.000	
2014-12-13	4300.000	644.000	
2014-12-15	912.000	440.000	
2014-12-16	1470.000	244.000	
2014-12-20	1350.000	87.000	
2015-02-09	226.000	357.000	
2015-02-10	1540.000	321.000	
2016-01-24	31.000	44.500	
2016-03-10	204.000	108.000	
2016-03-12	3590.000	378.000	
2016-03-13	3210.000	300.000	
2016-03-14	3120.000	342.000	
2016-03-15	2380.000	212.000	
2016-03-17	2030.000	142.000	
2017-01-05	0.001	152.000	
2017-01-09	13300.000	1520.000	
2017-01-10	4300.000	562.000	
2017-01-11	9460.000	968.000	
2017-01-14	3790.000	224.000	
2017-01-19	3790.000	360.000	
2017-01-20	8120.000	530.000	
2017-01-21	9680.000	992.000	
2017-01-23	11700.000	704.000	
2017-01-26	4200.000	66.500	
2017-02-01	3030.000	37.500	
2017-02-08	14200.000	356.000	
2017-02-10	10100.000	714.000	
2017-02-21	11200.000	670.000	
2017-03-16	2630.000	16.000	
2017-04-04	35.000	54.000	
2019-01-17	4900.000	1170.000	
2019-01-18	7870.000	670.000	
2019-02-05	1080.000	255.000	
2019-02-14	11700.000	1215.000	
2019-02-15	15200.000	1345.000	
2019-02-27	12200.000	999.000	
2019-02-28	16000.000	804.000	
2019-03-01	7810.000	189.000	
2019-03-05	4830.000	95.000	
2019-03-07	9400.000	286.000	
2019-03-28	3940.000	42.000	
2019-04-17	251.000	6.000	
