Dates	Flow	wwTHg
10d	6n	6n
2012-12-03	659	187.8130197
2012-12-05	343	59.44139942
2012-12-23	2100	71.325
2012-12-24	4710	199.9571125
2012-12-27	1060	54.125
2014-12-12	0.0005	754.7
2014-12-13	4350	301.8762069
2014-12-15	912	114.95
2014-12-20	1350	38.58
2015-02-09	215	146.8004651
2015-02-10	1540	76.25
2016-03-12	3590	69.755
2016-03-13	3210	62.11
2016-03-14	3165	73.67222749
2016-03-15	2415	46.78347826
2016-03-17	2030	26.5
2017-01-05	0.0005	29.29
2017-01-09	13366.66667	240.1079551
2017-01-10	4505	195.2600666
2017-01-11	9460	167.855
2017-01-14	3790	53.445
2017-01-19	3790	65.85
2017-01-20	7940	190.6872544
2017-01-21	9840	183.5012602
2017-01-23	11650	130.6561373
2017-01-26	4303.333333	19.7074361
2017-02-01	3030	9.916666667
2017-02-08	14200	182.83
2017-02-10	10100	120.285
2017-02-21	11350	150.5648899
2017-03-16	2630	5.72
2017-04-04	33	13.65333333
2019-01-17	3065	109.9112561
2019-01-18	8315	91.49003608
2019-02-05	967	43.053909
2019-02-14	11333.33333	332.9163529
2019-02-15	15200	385.3275
2019-02-27	12066.66667	181.3112707
2019-02-28	15950	180.9409718
2019-03-01	7945	62.86937697
2019-03-05	4830	25.805
2019-03-07	9480	51.30440225
2019-03-28	3940	14.76
2019-04-17	251	4.455
