Dates	Flow
10d	6n
2012-11-10	0.000
2012-11-11	0.000
2012-11-12	0.000
2012-11-13	0.000
2012-11-14	0.000
2012-11-15	0.000
2012-11-16	0.000
2012-11-17	0.000
2012-11-18	0.000
2012-11-19	0.000
2012-11-20	0.000
2012-11-21	0.000
2012-11-22	0.000
2012-11-23	0.000
2012-11-24	0.000
2012-11-25	0.000
2012-11-26	0.000
2012-11-27	0.000
2012-11-28	0.000
2012-11-29	0.000
2012-11-30	0.000
2012-12-01	0.000
2012-12-02	0.000
2012-12-03	1210.000
2012-12-04	369.000
2012-12-05	281.000
2012-12-06	386.000
2012-12-07	321.000
2012-12-08	157.000
2012-12-09	87.300
2012-12-10	58.900
2012-12-11	39.200
2012-12-12	24.000
2012-12-13	9.870
2012-12-14	0.180
2012-12-15	0.000
2012-12-16	0.000
2012-12-17	0.000
2012-12-18	0.000
2012-12-19	0.000
2012-12-20	0.000
2012-12-21	0.000
2012-12-22	268.000
2012-12-23	2020.000
2012-12-24	5570.000
2012-12-25	1860.000
2012-12-26	1110.000
2012-12-27	909.000
2012-12-28	763.000
2012-12-29	1080.000
2012-12-30	1170.000
2012-12-31	1090.000
2013-01-01	1130.000
2013-01-02	1140.000
2013-01-03	1150.000
2013-01-04	1040.000
2013-01-05	703.000
2013-01-06	465.000
2013-01-07	344.000
2013-01-08	283.000
2013-01-09	206.000
2013-01-10	153.000
2013-01-11	120.000
2013-01-12	103.000
2013-01-13	87.400
2013-01-14	66.000
2013-01-15	40.300
2013-01-16	32.200
2013-01-17	22.900
2013-01-18	14.400
2013-01-19	6.980
2013-01-20	0.860
2013-01-21	0.000
2013-01-22	0.000
2013-01-23	0.000
2013-01-24	0.000
2013-01-25	0.000
2013-01-26	0.000
2013-01-27	0.000
2013-01-28	0.000
2013-01-29	0.000
2013-01-30	0.000
2013-01-31	0.000
2013-02-01	0.000
2013-02-02	0.000
2013-02-03	0.000
2013-02-04	0.000
2013-02-05	0.000
2013-02-06	0.000
2013-02-07	0.000
2013-02-08	0.000
2013-02-09	0.000
2013-02-10	0.000
2013-02-11	0.000
2013-02-12	0.000
2013-02-13	0.000
2013-02-14	0.000
2013-02-15	0.000
2013-02-16	0.000
2013-02-17	0.000
2013-02-18	0.000
2013-02-19	0.000
2013-02-20	0.000
2013-02-21	0.000
2013-02-22	0.000
2013-02-23	0.000
2013-02-24	0.000
2013-02-25	0.000
2013-02-26	0.000
2013-02-27	0.000
2013-02-28	0.000
2013-03-01	0.000
2013-03-02	0.000
2013-03-03	0.000
2013-03-04	0.000
2013-03-05	0.000
2013-03-06	0.000
2013-03-07	0.000
2013-03-08	0.000
2013-03-09	0.000
2013-03-10	0.000
2013-03-11	0.000
2013-03-12	0.000
2013-03-13	0.000
2013-03-14	0.000
2013-03-15	0.000
2013-03-16	0.000
2013-03-17	0.000
2013-03-18	0.000
2013-03-19	0.000
2013-03-20	0.000
2013-03-21	0.000
2013-03-22	0.000
2013-03-23	0.000
2013-03-24	0.000
2013-03-25	0.000
2013-03-26	0.000
2013-03-27	0.000
2013-03-28	0.000
2013-03-29	0.000
2013-03-30	0.000
2013-03-31	0.000
2013-04-01	0.000
2013-04-02	0.000
2013-04-03	0.000
2013-04-04	0.000
2013-04-05	0.000
2013-04-06	0.000
2013-04-07	0.000
2013-04-08	0.000
2013-04-09	0.000
2013-04-10	0.000
2013-04-11	0.000
2013-04-12	0.000
2013-04-13	0.000
2013-04-14	0.000
2013-04-15	0.000
2013-04-16	0.000
2013-04-17	0.000
2013-04-18	0.000
2013-04-19	0.000
2013-04-20	0.000
2013-04-21	0.000
2013-04-22	0.000
2014-03-04	0.000
2014-03-05	0.000
2014-03-06	0.000
2014-03-07	0.000
2014-03-08	0.000
2014-03-09	0.000
2014-03-10	0.000
2014-03-11	0.000
2014-03-12	0.000
2014-03-13	0.000
2014-03-14	0.000
2014-03-15	0.000
2014-03-16	0.000
2014-03-17	0.000
2014-03-18	0.000
2014-03-19	0.000
2014-03-20	0.000
2014-03-21	0.000
2014-03-22	0.000
2014-03-23	0.000
2014-03-24	0.000
2014-03-25	0.000
2014-03-26	0.000
2014-03-27	0.000
2014-03-28	0.000
2014-03-29	0.000
2014-03-30	0.000
2014-03-31	0.000
2014-04-01	0.000
2014-04-02	0.000
2014-04-03	0.000
2014-04-04	0.000
2014-04-05	0.000
2014-04-06	0.000
2014-04-07	0.000
2014-04-08	0.000
2014-04-09	0.000
2014-04-10	0.000
2014-04-11	0.000
