Dates	Flow	SSC
10d	6n	6n
2012-12-03	659	795.9104704
2012-12-05	343	154.0466472
2012-12-23	2100	305.5
2012-12-24	4710	1018.386412
2012-12-27	1060	227
2014-12-12	0.0005	1710
2014-12-13	4350	688.5057471
2014-12-15	912	253.5
2014-12-20	1350	88
2015-02-09	215	360.7953488
2015-02-10	1540	231.5
2016-03-12	3590	263
2016-03-13	3210	244.5
2016-03-14	3165	301.4312796
2016-03-15	2415	175.9855072
2016-03-17	2030	114.5
2017-01-05	0.0005	152
2017-01-09	13366.66667	1046.154613
2017-01-10	4505	672.8235294
2017-01-11	9460	665
2017-01-14	3790	214.5
2017-01-19	3790	318.5
2017-01-20	7940	618.4483627
2017-01-21	9840	610.3943089
2017-01-23	11650	451.0901288
2017-01-26	4303.333333	66.3253292
2017-02-01	3030	33
2017-02-08	14200	549
2017-02-10	10100	408
2017-02-21	11350	418.722467
2017-03-16	2630	17
2017-04-04	33	33.33333333
2019-01-17	3065	947.4763458
2019-01-18	8315	495.1160553
2019-02-05	967	186.114788
2019-02-14	11333.33333	1154.205882
2019-02-15	15200	1074.25
2019-02-27	12066.66667	711.5966851
2019-02-28	15950	637.523511
2019-03-01	7945	199.6784141
2019-03-05	4830	94.5
2019-03-07	9480	199.9718706
2019-03-28	3940	46.5
2019-04-17	251	8.5
