Dates	Flow	fTHg		
10d	6n	6n		
2016-12-11	422.0	1.000
2016-12-16	1620.0	12.300		
2016-12-17	1200.0	8.200	
2017-01-04	40.3	4.450		
2017-01-08	1940.0	5.480		
2017-01-09	18700.0	10.100		
2017-01-11	12100.0	11.000		
2017-01-14	3410.0	2.490		
2017-01-19	4439.5	4.175		
2017-01-20	4910.0	4.310		
2017-01-21	9530.0	5.430		
2017-01-24	423.0	1.666		
2017-02-02	3080.0	1.480		
2017-02-08	14600.0	4.480		
2017-02-10	10600.0	6.270		
2017-02-21	11800.0	4.940		
2017-03-16	3020.0	1.180		
2017-04-04	554.0	1.565		
2017-04-26	368.0	1.230		
2018-01-09	37.9	2.590		
2018-01-10	47.8	1.390		
2018-01-25	29.9	0.840		
2018-02-12	9.5	0.650		
2018-03-07	22.8	1.090		
2018-03-23	716.5	2.898		
2018-04-07	195.5	1.521		
2018-04-08	822.0	9.360		
2018-11-30	33.3	1.680		
2019-01-17	6280.0	8.570		
2019-01-18	3300.0	8.140		
2019-02-03	1910.0	7.910		
2019-02-05	2320.0	7.170		
2019-02-13	416.0	6.050		
2019-02-14	15800.0	13.600		
2019-02-15	16200.0	9.740		
2019-02-27	24900.0	18.490		
2019-02-28	15200.0	6.240		
2019-03-05	5010.0	1.310		
2019-03-07	9040.0	2.690		
2019-03-28	4460.0	4.295		
2019-04-17	1090.0	1.300		
