Dates	Flow	wwTHg	
10d	6n	6n	
2010-12-30	479.000	50.650	
2011-01-04	579.000	11.070	
2011-02-28	65.200	15.000	
2011-03-15	985.000	6.574	
2011-03-17	1750.000	8.590	
2011-03-19	4210.000	72.790	
2011-03-21	11300.000	198.820	
2011-03-22	6060.000	51.080	
2011-03-25	9380.000	217.075	
2011-04-04	3650.000	14.000	
2012-12-03	960.000	237.110	
2012-12-05	358.000	51.600	
2012-12-23	2100.000	101.720	
2012-12-24	5020.000	261.800	
2012-12-27	1060.000	26.650	
2014-12-12	0.001	754.700	
2014-12-13	4300.000	256.010	
2014-12-15	912.000	196.600	
2014-12-16	1470.000	43.490	
2014-12-20	1350.000	34.320	
2015-02-09	226.000	143.100	
2015-02-10	1540.000	93.100	
2016-01-24	31.000	15.815	
2016-03-10	204.000	30.640	
2016-03-12	3590.000	98.400	
2016-03-13	3210.000	71.650	
2016-03-14	3120.000	74.940	
2016-03-15	2380.000	49.340	
2016-03-17	2030.000	27.770	
2017-01-05	0.001	29.290	
2017-01-09	13300.000	393.690	
2017-01-10	4300.000	184.460	
2017-01-11	9460.000	224.630	
2017-01-14	3790.000	48.330	
2017-01-19	3790.000	52.580	
2017-01-20	8120.000	156.080	
2017-01-21	9680.000	289.360	
2017-01-23	11700.000	200.520	
2017-01-26	70980.000	4201.490	
2017-02-01	27754.800	3031.150	
2017-02-08	14200.000	273.720	
2017-02-10	10100.000	203.320	
2017-02-21	11200.000	239.890	
2017-03-16	2630.000	5.530	
2017-04-04	35.000	20.680	
2019-01-17	4900.000	131.050	
2019-01-18	7870.000	128.990	
2019-02-05	1080.000	55.440	
2019-02-14	11700.000	361.050	
2019-02-15	15200.000	488.905	
2019-02-27	12200.000	190.540	
2019-02-28	16000.000	232.130	
2019-03-01	7810.000	49.440	
2019-03-05	4830.000	25.380	
2019-03-07	9400.000	67.710	
2019-03-28	3940.000	11.740	
2019-04-17	251.000	4.020	
