Dates	Flow		
10d	6n		
2009-10-01	0		
2009-10-02	0		
2009-10-03	0		
2009-10-04	0		
2009-10-05	0		
2009-10-06	0		
2009-10-07	0		
2009-10-08	0		
2009-10-09	0		
2009-10-10	0		
2009-10-11	0		
2009-10-12	0		
2009-10-13	0		
2009-10-14	0		
2009-10-15	0		
2009-10-16	0		
2009-10-17	0		
2009-10-18	0		
2009-10-19	0		
2009-10-20	0		
2009-10-21	0		
2009-10-22	0		
2009-10-23	0		
2009-10-24	0		
2009-10-25	0		
2009-10-26	0		
2009-10-27	0		
2009-10-28	0		
2009-10-29	0		
2009-10-30	0		
2009-10-31	0		
2009-11-01	0		
2009-11-02	0		
2009-11-03	0		
2009-11-04	0		
2009-11-05	0		
2009-11-06	0		
2009-11-07	0		
2009-11-08	0		
2009-11-09	0		
2009-11-10	0		
2009-11-11	0		
2009-11-12	0		
2009-11-13	0		
2009-11-14	0		
2009-11-15	0		
2009-11-16	0		
2009-11-17	0		
2009-11-18	0		
2009-11-19	0		
2009-11-20	0		
2009-11-21	0		
2009-11-22	0		
2009-11-23	0		
2009-11-24	0		
2009-11-25	0		
2009-11-26	0		
2009-11-27	0		
2009-11-28	0		
2009-11-29	0		
2009-11-30	0		
2009-12-01	0		
2009-12-02	0		
2009-12-03	0		
2009-12-04	0		
2009-12-05	0		
2009-12-06	0		
2009-12-07	0		
2009-12-08	0		
2009-12-09	0		
2009-12-10	0		
2009-12-11	0		
2009-12-12	0		
2009-12-13	0		
2009-12-14	0		
2009-12-15	0		
2009-12-16	0		
2009-12-17	0		
2009-12-18	0		
2009-12-19	0		
2009-12-20	0		
2009-12-21	0		
2009-12-22	0		
2009-12-23	0		
2009-12-24	0		
2009-12-25	0		
2009-12-26	0		
2009-12-27	0		
2009-12-28	0		
2009-12-29	0		
2009-12-30	0		
2009-12-31	0		
2010-01-01	0		
2010-01-02	0		
2010-01-03	0		
2010-01-04	0		
2010-01-05	0		
2010-01-06	0		
2010-01-07	0		
2010-01-08	0		
2010-01-09	0		
2010-01-10	0		
2010-01-11	0		
2010-01-12	0		
2010-01-13	0		
2010-01-14	0		
2010-01-15	0		
2010-01-16	0		
2010-01-17	0		
2010-01-18	0		
2010-01-19	310.4065329		
2010-01-20	3219.827633		
2010-01-21	6092.65892		
2010-01-22	3176.748837		
2010-01-23	1167.646035		
2010-01-24	654.6417929		
2010-01-25	857.0386998		
2010-01-26	5945.375779		
2010-01-27	1876.228692		
2010-01-28	944.8085063		
2010-01-29	616.25386		
2010-01-30	469.8153034		
2010-01-31	388.527626		
2010-02-01	331.7558231		
2010-02-02	290.5486597		
2010-02-03	257.9258657		
2010-02-04	233.1601718		
2010-02-05	803.2212356		
2010-02-06	842.4226311		
2010-02-07	724.5578278		
2010-02-08	473.46129		
2010-02-09	373.8922007		
2010-02-10	426.2790405		
2010-02-11	342.891391		
2010-02-12	283.2127284		
2010-02-13	246.9889166		
2010-02-14	220.0885953		
2010-02-15	198.1480065		
2010-02-16	177.5060875		
2010-02-17	163.7730572		
2010-02-18	151.3222684		
2010-02-19	142.7155597		
2010-02-20	134.8999711		
2010-02-21	126.7760863		
2010-02-22	119.0457718		
2010-02-23	115.4487984		
2010-02-24	202.8713974		
2010-02-25	405.7592856		
2010-02-26	243.9181225		
2010-02-27	697.9956251		
2010-02-28	824.0014082		
2010-03-01	390.0535843		
2010-03-02	296.4696212		
2010-03-03	457.3765368		
2010-03-04	1634.728352		
2010-03-05	791.7143648		
2010-03-06	557.4391912		
