Dates	Flow	pTHg
10d	6n	6n
2012-12-03	659	178.5644917
2012-12-05	343	49.07609329
2012-12-23	2100	63.55
2012-12-24	4710	188.8110403
2012-12-27	1060	46.05
2014-12-12	0.0005	739
2014-12-13	4350	285.5057471
2014-12-15	912	103.35
2014-12-20	1350	28.83333333
2015-02-09	215	136.6930233
2015-02-10	1540	65.2
2016-03-12	3590	61.05
2016-03-13	3210	53.2
2016-03-14	3165	66.06161137
2016-03-15	2415	40.2884058
2016-03-17	2030	22.2
2017-01-05	0.0005	25
2017-01-09	13366.66667	232.9526185
2017-01-10	4505	187.5460599
2017-01-11	9460	160.5
2017-01-14	3790	48
2017-01-19	3790	63.35
2017-01-20	7940	185.6498741
2017-01-21	9840	177.8678862
2017-01-23	11650	125.0969957
2017-01-26	4303.333333	17.51525949
2017-02-01	3030	8.513333333
2017-02-08	14200	177.6
2017-02-10	10100	114.65
2017-02-21	11350	146.938326
2017-03-16	2630	4.035
2017-04-04	33	11.7780303
2019-01-17	3065	104.4699837
2019-01-18	8315	83.81166566
2019-02-05	967	35.3983454
2019-02-14	11333.33333	321.1558824
2019-02-15	15200	371.5
2019-02-27	12066.66667	174.038674
2019-02-28	15950	173.1598746
2019-03-01	7945	58.25305223
2019-03-05	4830	23.75
2019-03-07	9480	48.43670886
2019-03-28	3940	12.95
2019-04-17	251	3.05
