Dates	Flow	wwMeHg
10d	6n	6n
2012-12-03	659	1.060
2012-12-05	343	0.539
2012-12-23	2100	0.913
2012-12-24	4710	2.116
2012-12-27	1060	0.522
2014-12-12	0.0005	1.300
2014-12-13	4350	0.554
2014-12-15	912	0.289
2014-12-20	1350	0.182
2015-02-09	215	0.875
2015-02-10	1540	0.315
2016-03-12	3590	0.343
2016-03-13	3210	0.316
2016-03-14	3165	0.424
2016-03-15	2415	0.248
2016-03-17	2030	0.227
2017-01-05	0.0005	0.367
2017-01-09	13366.66667	1.363
2017-01-10	4505	1.097
2017-01-11	9460	0.766
2017-01-14	3790	0.380
2017-01-19	3790	0.589
2017-01-20	7940	1.093
2017-01-21	9840	0.913
2017-01-23	11650	0.613
2017-01-26	4303.333333	0.157
2017-02-01	3030	0.157
2017-02-08	14200	0.743
2017-02-10	10100	0.677
2017-02-21	11350	0.620
2017-03-16	2630	0.174
2017-04-04	33	0.605
2019-01-17	3065	0.925
2019-01-18	8315	0.523
2019-02-05	967	0.374
2019-02-14	11333.33333	1.831
2019-02-15	15200	1.578
2019-02-27	12066.66667	1.411
2019-02-28	15950	0.902
2019-03-01	7945	0.402
2019-03-05	4830	0.260
2019-03-07	9480	0.442
2019-03-28	3940	0.305
2019-04-17	251	0.270
