Dates	Flow	SSC
10d	6n	6n
2010-01-21	6092.66	1343.33
2010-01-22	3176.75	710.00
2010-01-25	857.04	102.00
2010-01-26	5945.38	2593.33
2010-01-27	1876.23	530.00
2010-02-02	290.55	23.00
2010-02-03	257.93	25.00
2010-02-08	473.46	175.00
2010-02-11	342.89	40.00
2010-02-12	283.21	35.00
2010-02-17	163.77	14.50
2010-02-19	142.72	9.00
2010-02-24	202.87	9.00
2010-02-26	243.92	39.00
2010-03-02	296.47	26.00
2010-03-05	791.71	197.50
2010-03-08	397.51	22.00
2010-03-09	349.89	11.00
2010-03-11	302.70	16.00
2010-03-15	286.22	15.00
2010-03-19	203.64	77.00
2010-03-30	116.41	13.00
2010-04-02	145.41	64.00
2010-04-06	411.14	85.00
2010-04-07	290.86	31.00
2010-04-08	231.95	15.00
2010-04-12	876.04	113.00
2010-04-13	2210.62	563.00
2010-04-14	2884.81	988.00
2010-04-15	3581.25	989.00
2010-04-21	1443.77	462.00
2010-04-22	496.07	73.50
2010-04-27	223.92	10.00
2010-04-30	190.89	6.00
2010-05-04	1683.79	261.00
2010-06-01	19.69	3.00
2010-12-08	130.38	22.50
2010-12-20	515.07	138.50
2010-12-21	1106.66	294.00
2010-12-23	734.93	82.00
2010-12-30	1806.52	332.00
2011-01-04	1008.54	72.50
2011-01-07	468.86	64.00
2011-01-14	216.67	22.00
2011-01-19	160.14	19.00
2011-01-21	134.18	12.00
2011-01-26	87.30	5.00
2011-01-27	79.78	8.00
2011-01-28	74.45	8.00
2011-01-31	66.79	19.00
2011-02-03	56.38	4.00
2011-02-08	36.04	37.00
2011-02-11	28.88	9.00
2011-02-17	1303.27	481.00
2011-02-18	1813.29	500.00
2011-02-19	1180.80	248.00
2011-02-24	323.14	24.00
2011-02-28	340.02	26.00
2011-03-01	291.45	29.00
2011-03-04	642.51	73.00
2011-03-07	975.17	247.00
2011-03-11	1948.62	539.67
2011-03-15	1716.10	252.00
2011-03-16	2388.42	679.00
2011-03-17	2678.90	577.50
2011-03-19	4180.32	1021.00
2011-03-22	4958.19	944.25
2011-03-25	10503.79	1953.33
2011-03-28	6103.95	946.00
2011-04-04	3907.35	288.00
2011-04-06	3723.76	678.00
2011-04-08	3570.84	686.00
2011-04-13	2716.50	315.00
2011-04-18	447.30	76.00
2011-04-22	224.87	24.00
2011-04-25	105.99	47.00
2011-04-26	97.63	1.00
2011-04-28	64.07	13.00
2011-05-06	52.27	19.00
2011-05-09	73.81	17.00
2011-05-11	52.62	19.00
2011-05-12	49.55	18.00
2011-05-16	63.63	4.00
2011-05-18	115.95	10.00
2011-05-20	60.21	31.00
2011-05-24	28.91	52.00
2011-06-02	32.35	60.00
2011-10-26	0.001	13.00
2011-12-29	8.45	7.00
2012-01-23	183.30	4.00
2012-01-24	567.47	94.00
2012-01-25	236.64	84.00
2012-02-15	31.73	14.00
2012-03-06	29.91	10.00
2012-03-14	21.45	11.00
2012-03-15	271.26	40.00
2012-03-16	302.01	28.00
2012-03-17	280.34	16.50
2012-03-18	366.12	31.00
2012-03-20	219.46	15.00
2012-03-23	131.87	44.00
2012-03-26	211.98	49.00
2012-03-28	1296.63	622.67
2012-03-29	1276.73	265.00
2012-04-03	363.77	41.00
2012-04-05	255.25	34.00
2012-04-12	177.91	44.00
2012-04-13	458.87	50.00
2012-04-26	211.32	34.00
2012-12-01	1988.51	855.00
2012-12-02	1976.12	269.00
2012-12-03	3477.68	1262.50
2012-12-05	347.63	74.00
2012-12-17	90.70	11.00
2012-12-19	115.40	11.00
2012-12-22	3264.51	1280.00
2012-12-23	3186.55	531.00
2012-12-24	5464.27	2160.00
2012-12-27	978.43	124.00
2012-12-28	1316.21	342.00
2013-01-02	1336.36	104.00
2013-01-04	996.37	90.00
2013-01-10	161.60	19.00
2013-01-11	138.95	20.00
2013-01-15	102.74	17.00
2013-01-16	99.00	11.00
2013-01-17	95.39	15.00
2013-01-22	79.47	9.00
2013-01-23	77.49	20.00
2013-01-29	70.87	7.00
2013-02-01	64.15	6.00
2013-02-04	58.97	3.00
2013-02-05	57.54	5.00
2013-02-08	56.64	8.00
2013-02-12	52.48	20.00
2013-02-15	51.29	39.00
2013-02-19	49.49	54.00
2013-02-21	47.19	47.50
2013-02-26	40.87	68.00
2013-03-06	40.00	51.00
2013-03-08	48.15	26.00
