Dates	Flow	fTHg	
10d	6n	6n	
2010-02-10	10.900	3.700	
2010-12-30	479.000	6.050	
2011-01-04	579.000	4.070	
2011-02-23	96.700	7.130	
2011-02-28	65.200	6.330	
2011-03-15	985.000	3.187	
2011-03-17	1750.000	2.370	
2011-03-19	4210.000	4.490	
2011-03-21	11300.000	5.820	
2011-03-22	6060.000	1.530	
2011-03-25	9380.000	2.075	
2011-04-04	3650.000	1.200	
2012-12-03	960.000	9.110	
2012-12-05	358.000	10.700	
2012-12-23	2100.000	9.720	
2012-12-24	5020.000	11.800	
2012-12-27	1060.000	5.550	
2014-12-12	0.001	15.700	
2014-12-13	4300.000	15.010	
2014-12-15	912.000	12.600	
2014-12-16	1470.000	7.490	
2014-12-20	1350.000	8.570	
2015-02-09	226.000	12.100	
2015-02-10	1540.000	11.300	
2016-01-24	31.000	6.190	
2016-03-10	204.000	8.240	
2016-03-12	3590.000	10.200	
2016-03-13	3210.000	9.050	
2016-03-14	3120.000	6.140	
2016-03-15	2380.000	4.740	
2016-03-17	2030.000	2.870	
2017-01-05	0.001	4.290	
2017-01-09	13300.000	7.690	
2017-01-10	4300.000	9.460	
2017-01-11	9460.000	8.630	
2017-01-14	3790.000	3.030	
2017-01-19	3790.000	2.280	
2017-01-20	8120.000	7.080	
2017-01-21	9680.000	6.360	
2017-01-23	11700.000	6.520	
2017-01-26	4200.000	1.490	
2017-02-01	3030.000	1.150	
2017-02-08	14200.000	5.720	
2017-02-10	10100.000	7.320	
2017-02-21	11200.000	3.890	
2017-03-16	2630.000	1.670	
2017-04-04	35.000	1.880	
2019-01-17	4900.000	5.050	
2019-01-18	7870.000	8.990	
2019-02-05	1080.000	8.340	
2019-02-14	11700.000	13.550	
2019-02-15	15200.000	15.905	
2019-02-27	12200.000	9.540	
2019-02-28	16000.000	8.130	
2019-03-01	7810.000	3.340	
2019-03-05	4830.000	1.780	
2019-03-07	9400.000	4.210	
2019-03-28	3940.000	1.640	
2019-04-17	251.000	1.480	
